"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"73";"/org.eclipse.team.examples.filesystem/src/org/eclipse/team/examples/filesystem/Policy.java";1;0;1;1;0;0;0;1;4;0;1;1708;4;4;1;0;0;1;1;1708;0;1708;1;1;NA
"74";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/actions/QuickAccessAction.java";1;0;2;1;0;0;0;2;0;1;2;4864;0;0;1;0;0;2;2;4864;0;5052;2;1;NA
"75";"/org.eclipse.ui.ide/src/org/eclipse/ui/ResourceWorkingSetFilter.java";2;0;2;1;0;0;0;2;0;1;2;1511;0;0;1;0;0;2;2;1511;0;2263;2;2;NA
"76";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/launchConfigurations/ClasspathModel.java";1;0;2;1;0;0;0;2;0;0;1;2685;0;0;2;1;0;2;2;2685;1;2685;1;1;NA
"77";"/org.eclipse.debug.core/core/org/eclipse/debug/internal/core/variables/RefreshScopeVariableRegistry.java";1;0;2;1;0;0;0;2;0;1;2;737;0;0;1;0;0;2;2;737;0;754;2;1;NA
"78";"/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/PreferenceImportExportFileSelectionPage.java";4;2;9;1;7;6;7;2;74;1;2;3636;187;187;2;0;1;2;9;5800;1;6338;8;4;NA
"79";"/org.eclipse.update.core/src/org/eclipse/update/internal/search/UnifiedUpdatesSearchCategory.java";2;0;3;1;0;0;0;3;8;2;2;825;8;8;2;1;0;3;3;890;1;890;2;2;NA
"80";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/ui/wizards/IClasspathContainerPageExtension.java";1;0;1;1;1;1;1;0;2;0;0;6340;2;2;1;0;0;0;1;6340;0;6340;1;1;NA
"81";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractInterface/test64/out/A.java";1;0;1;1;0;0;0;1;2;0;1;1166;2;2;1;0;0;1;1;1166;0;1166;1;1;NA
"82";"/org.eclipse.ui.internal.r21presentation/src/org/eclipse/ui/internal/r21presentation/widgets/R21PaneFolderButtonListener.java";1;0;1;1;1;1;1;0;0;0;0;5444;0;0;1;0;0;0;1;5444;0;5444;1;1;NA
"83";"/org.eclipse.jdt.ui.tests.refactoring/resources/ExtractMethodWorkSpace/ExtractMethodTests/semicolon_out/A_test402.java";1;0;2;1;0;0;0;2;6;1;2;130;7;7;1;0;0;2;2;130;0;844;2;1;NA
"84";"/org.eclipse.swt/Eclipse SWT PI/win32/org/eclipse/swt/internal/win32/DRAWITEMSTRUCT.java";1;0;1;1;0;0;0;1;2;0;1;2915;2;2;1;0;0;1;1;2915;0;2915;1;1;NA
"85";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ISearchProvider.java";2;0;6;1;0;0;0;6;16;1;6;200;30;30;1;0;0;6;6;200;0;4949;6;2;NA
