"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"111";"org.eclipse.help.internal.model";0;0;2;0;0;0;0;2;32;0;1;35;32;0;2;1;0;2;2;35;1;35;1;0;0
"112";"org.eclipse.jdt.internal.compiler.util";0;0;3;0;0;0;0;3;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;2;5
"113";"org.eclipse.core.internal.refresh";0;0;8;0;0;0;1;7;130;2;3;20;238;0;2;3;0;6;6;20;3;33;3;0;2
"114";"org.eclipse.help.internal.webapp.servlet";0;0;5;0;2;1;2;3;407;0;0;43;407;0;2;0;1;0;2;43;1;43;1;0;0
"115";"org.eclipse.jdt.internal.ui.typehierarchy";0;0;4;0;0;0;0;4;0;0;0;-1;0;56;0;0;0;0;0;-1;0;-1;0;3;0
"116";"org.eclipse.ant.internal.ui.editor.actions";1;0;14;1;2;1;2;12;226;4;3;15;375;45;4;5;1;8;10;17;6;44;4;1;0
"117";"org.eclipse.update.internal.configurator";1;0;4;1;0;0;0;4;79;0;1;6;79;65;2;1;0;2;2;6;1;6;1;2;0
"118";"org.eclipse.ui.internal.progress";1;0;5;1;0;0;0;5;15426;0;1;2;15426;188;2;1;0;2;2;2;1;2;1;1;4
"119";"org.eclipse.jdt.internal.junit.ui";1;0;7;1;0;0;1;6;98;0;1;10;98;102;2;1;0;2;2;10;1;10;1;4;6
"120";"org.eclipse.debug.ui.memory";1;0;6;1;0;0;0;6;1298;3;2;28;1355;91;3;3;0;5;5;28;3;38;2;3;0
"121";"org.eclipse.ant.internal.ui.views.actions";0;0;6;0;0;0;0;6;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"122";"org.eclipse.jdt.internal.compiler.problem";0;0;6;0;0;0;1;5;1637;0;1;1;1637;8;4;3;0;4;4;1;3;1;1;1;4
"123";"org.eclipse.jdt.internal.debug.core.refactoring";0;0;4;0;0;0;0;4;10;0;1;12;10;26;2;1;0;2;2;12;1;12;1;2;0
"124";"org.eclipse.ui.branding";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"125";"org.eclipse.search.ui.text";0;0;4;0;0;0;0;4;0;0;0;-1;0;23;0;0;0;0;0;-1;0;-1;0;3;0
"126";"org.eclipse.ui.editors.text";0;0;7;0;0;0;2;5;6;0;1;9;6;0;2;1;0;2;2;9;1;9;1;0;0
"127";"org.eclipse.ui.internal.actions";1;0;6;1;0;0;0;6;385;0;1;2;385;159;2;1;0;2;2;2;1;2;1;3;1
"128";"org.eclipse.ui.wizards.newresource";0;0;7;0;0;0;1;6;1248;4;2;2;1404;0;4;4;0;6;6;35;4;35;2;0;0
"129";"org.eclipse.core.internal.resources.mapping";0;0;3;0;0;0;1;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;0
"130";"org.eclipse.ui.ide.dialogs";0;0;7;0;0;0;2;5;28;2;2;12;28;2;2;2;0;4;4;12;2;35;2;2;1
"131";"org.eclipse.jface.text.templates";0;0;8;0;2;1;3;5;73;2;2;7;146;0;2;2;1;4;6;7;3;51;3;0;0
"132";"org.eclipse.jdi.internal.spy";0;0;4;0;0;0;0;4;12;0;1;1;12;8;2;1;0;2;2;1;1;1;1;1;0
"133";"org.eclipse.jface.action";1;0;3;1;0;0;0;3;12930;0;1;2;12930;1129;2;1;0;2;2;2;1;2;1;3;4
"134";"org.eclipse.pde.internal.core.ifeature";0;0;3;0;0;0;0;3;54;0;1;31;54;14;2;1;0;2;2;31;1;31;1;1;0
