"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"bugs"
"87";"org.eclipse.help.internal.search";0;0;7;0;0;0;1;6;0;0;0;-1;0;12;0;1;0;0;0;-1;1;-1;0;2;0
"88";"org.eclipse.ui.internal.browser";0;0;7;0;0;0;1;6;0;0;0;-1;0;66;0;4;0;0;0;-1;4;-1;0;3;0
"89";"org.eclipse.team.internal.ui";0;0;7;0;0;0;0;7;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;3
"90";"org.eclipse.help.browser";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"91";"org.eclipse.debug.ui.sourcelookup";0;0;4;0;0;0;0;4;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;0;0
"92";"org.eclipse.ui.internal.commands";0;0;9;0;0;0;0;9;0;0;0;-1;0;0;0;5;0;0;0;-1;5;-1;0;0;0
"93";"org.eclipse.team.internal.core";0;0;7;0;0;0;0;7;0;0;0;-1;0;22;0;4;0;0;0;-1;4;-1;0;1;3
"94";"org.eclipse.ui.internal.part.components.services";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;1;0;0;0;-1;1;-1;0;1;0
"95";"org.eclipse.pde.internal.ui.editor.plugin.rows";0;0;6;0;0;0;0;6;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
"96";"org.eclipse.jdt.launching.sourcelookup.containers";0;0;7;0;0;0;2;5;0;0;0;-1;0;0;0;2;1;0;0;-1;3;-1;0;0;0
"97";"org.eclipse.search2.internal.ui";0;0;6;0;0;0;2;4;0;0;0;-1;0;46;0;0;1;0;0;-1;1;-1;0;3;1
"98";"org.eclipse.jdt.internal.ui.filters";0;0;4;0;0;0;1;3;0;0;0;-1;0;40;0;1;0;0;0;-1;1;-1;0;3;0
"99";"org.eclipse.ui.wizards";0;0;5;0;0;0;1;4;0;0;0;-1;0;13;0;1;0;0;0;-1;1;-1;0;3;0
"100";"org.eclipse.jdt.internal.corext.refactoring.typeconstraints.typesets";0;0;4;0;0;0;2;2;0;0;0;-1;0;0;0;1;1;0;0;-1;2;-1;0;1;1
"101";"org.eclipse.jface.bindings.keys.formatting";0;0;8;0;0;0;0;8;0;0;0;-1;0;0;0;3;0;0;0;-1;3;-1;0;0;0
"102";"org.eclipse.ui.internal.ide.misc";0;0;5;0;0;0;1;4;0;0;0;-1;0;0;0;2;0;0;0;-1;2;-1;0;0;0
