"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"151";"org.eclipse.swt.events";1;0;3;1;0;0;0;3;352;2;2;1772;384;36;2;1;0;3;3;1772;1;3222;2;1;NA
"152";"org.eclipse.jdt.internal.ui.text.template.preferences";3;0;5;1;0;0;0;5;39;2;3;3184;72;56;2;2;0;5;5;3184;2;4029;3;3;NA
"153";"org.eclipse.help.ui.internal.search";0;0;7;0;0;0;0;7;148;6;2;2488;188;0;6;5;0;7;7;2488;5;3147;2;0;NA
"154";"org.eclipse.help.internal.context";1;0;5;1;0;0;0;5;58;2;4;527;154;8;2;1;0;5;5;527;1;3147;4;1;NA
"155";"org.eclipse.team.internal.ui.synchronize";1;0;5;1;0;0;0;5;334;1;5;170;382;534;1;0;0;5;5;170;0;3129;5;2;NA
"156";"org.eclipse.jface.text.contentassist";2;1;14;1;2;2;2;12;1408;1;12;280;2221;56;1;0;0;12;14;280;0;5012;14;2;NA
"157";"org.eclipse.pde.internal.ui.wizards.templates";3;0;9;1;0;0;0;9;398;2;8;506;1061;143;2;1;0;9;9;506;1;4018;8;3;NA
"158";"org.eclipse.ui.externaltools.internal.menu";1;0;2;1;0;0;0;2;16;1;2;785;24;24;1;0;0;2;2;785;0;3145;2;1;NA
"159";"org.eclipse.pde.internal.ui.editor.build";1;0;7;1;0;0;0;7;510;2;6;56;834;8;2;1;0;7;7;56;1;3867;6;1;NA
"160";"org.eclipse.core.internal.expressions";1;0;6;1;1;1;1;5;208;2;4;677;331;48;2;1;0;5;6;677;1;5012;5;1;NA
"161";"org.eclipse.jdt.internal.ui.propertiesfileeditor";2;0;12;1;0;0;0;12;458;2;11;1234;1228;523;2;1;0;12;12;1234;1;4031;11;3;NA
"162";"org.eclipse.jdt.internal.ui.wizards.buildpaths.newsourcepage";2;0;11;1;0;0;0;11;1159;2;9;2374;2586;714;2;2;0;11;11;2374;2;3956;9;4;NA
"163";"org.eclipse.update.internal.scheduler.preferences";0;0;3;0;1;1;1;2;48;1;2;3240;79;0;1;0;0;2;3;3240;0;4853;3;0;NA
"164";"org.eclipse.pde.internal.ui.editor.context";1;0;6;1;0;0;0;6;193;2;5;1117;329;28;2;1;0;6;6;1117;1;3149;5;2;NA
"165";"org.eclipse.jface.util";1;0;3;1;0;0;0;3;3747;2;2;123;3891;367;2;1;0;3;3;123;1;3189;2;2;NA
"166";"org.eclipse.jdt.internal.compiler.impl";0;0;17;0;0;0;0;17;98;3;14;60;349;0;3;3;0;17;17;1372;3;3136;14;0;NA
"167";"org.eclipse.ui.internal.texteditor.spelling";0;0;6;0;1;1;1;5;22;2;4;2086;48;0;2;1;0;5;6;2086;1;5012;5;0;NA
