filename;TotalPeopleInBurst;MaximumChangeBurstLate;NumberOfChanges;MaxPeopleInBurst;TotalBurstSizeLate;NumberOfChangeBurstsLate;NumberOfChangesLate;NumberOfChangesEarly;MaxChurnInBurst;MaximumChangeBurstEarly;NumberOfChangeBurstsEarly;TimeFirstBurst;TotalChurnInBurst;ChurnTotal;MaximumChangeBurst;NumberOfConsecutiveChangesEarly;NumberOfConsecutiveChangesLate;TotalBurstSizeEarly;TotalBurstSize;TimeMaxBurst;NumberOfConsecutiveChanges;TimeLastBurst;NumberOfChangeBursts;PeopleTotal;
org.eclipse.ui.internal.ide.misc;1;0;2;1;0;0;0;2;0;0;1;2264;0;28;2;1;0;2;2;2264;1;2264;1;4;
org.eclipse.pde.internal.ui.editor.plugin;1;2;4;1;4;3;4;0;578;0;0;5431;896;44;2;0;1;0;4;5431;1;6336;3;2;
org.eclipse.ui.internal.misc;0;1;9;0;2;2;2;7;42;1;7;173;93;0;1;0;0;7;9;173;0;6338;9;0;
org.eclipse.jdt.internal.corext.refactoring.structure;1;2;55;1;12;10;12;43;348;2;41;42;3245;2;2;2;2;43;55;1952;4;6340;51;2;
org.eclipse.jdt.internal.compiler.env;1;0;5;1;0;0;0;5;30;2;4;85;53;2;2;1;0;5;5;85;1;4017;4;1;
org.eclipse.jdt.internal.compiler.lookup;1;0;17;1;1;1;1;16;264;3;11;10;848;2;3;5;0;16;17;10;5;5871;12;1;
org.eclipse.help.internal.model;0;0;3;0;1;1;1;2;60;0;1;3513;60;0;2;1;0;2;3;3513;1;5827;2;0;
org.eclipse.jdt.internal.compiler.util;1;0;4;1;0;0;0;4;18;1;4;259;36;30;1;0;0;4;4;259;0;3560;4;2;
org.eclipse.osgi.framework.stats;0;1;4;0;2;2;2;2;165;0;1;3013;181;0;2;1;0;2;4;3013;1;6337;3;0;
org.eclipse.core.internal.refresh;0;1;7;0;2;2;2;5;107;2;4;3681;207;0;2;1;0;5;7;3681;1;5275;6;0;
org.eclipse.help.internal.webapp.servlet;1;1;9;1;3;3;3;6;721;1;6;106;1942;417;1;0;0;6;9;106;0;6337;9;1;
org.eclipse.jdt.internal.ui.typehierarchy;1;1;18;1;2;2;2;16;245;2;14;435;652;2;2;2;0;16;18;435;2;6340;16;1;
org.eclipse.ui.internal.commands.ws;1;0;3;1;1;1;1;2;40;0;1;4896;40;42;2;1;0;2;3;4896;1;6338;2;3;
org.eclipse.update.internal.configurator;1;0;20;1;1;1;1;19;2045;2;17;3243;2805;13;2;2;0;19;20;3243;2;5616;18;1;
org.eclipse.ui.internal.progress;1;1;29;1;2;2;2;27;355;2;23;320;2799;128;2;4;0;27;29;320;4;5595;25;2;
org.eclipse.jdt.internal.junit.ui;2;0;7;1;1;1;1;6;340;1;6;185;508;8;1;0;0;6;7;185;0;6340;7;3;
org.eclipse.ant.internal.ui.views.actions;1;1;5;1;2;2;2;3;29;2;2;1811;31;0;2;1;0;3;5;1811;1;6039;4;1;
org.eclipse.jdt.internal.debug.core.refactoring;3;1;10;1;2;2;2;8;178;2;7;3750;474;206;2;1;0;8;10;3750;1;6339;9;3;
org.eclipse.jdt.internal.compiler.problem;0;0;15;0;1;1;1;14;82;2;13;13;400;0;2;1;0;14;15;13;1;5615;14;0;
org.eclipse.ui.branding;2;1;3;1;2;2;2;1;18;0;1;4428;23;23;1;0;0;1;3;4428;0;6321;3;2;
org.eclipse.search.ui.text;0;1;7;0;5;5;5;2;421;1;2;3474;766;0;1;0;0;2;7;3474;0;6340;7;0;
org.eclipse.ui.editors.text;1;1;13;1;3;3;3;10;791;1;10;677;1856;49;1;0;0;10;13;677;0;6340;13;2;
org.eclipse.ui.internal.actions;0;0;4;0;2;1;2;2;82;1;2;1774;97;0;2;0;1;2;4;5802;1;5802;3;0;
org.eclipse.ui.wizards.newresource;1;0;4;1;0;0;0;4;19;2;3;1511;21;0;2;1;0;4;4;1511;1;2631;3;1;
org.eclipse.jface.text.templates;3;1;9;1;4;4;4;5;196;2;4;4258;459;335;2;1;0;5;9;4258;1;6340;8;3;
org.eclipse.jdi.internal.spy;0;0;3;0;0;0;0;3;20;1;3;566;27;0;1;0;0;3;3;566;0;2497;3;0;
org.eclipse.jface.action;5;2;26;2;5;4;5;21;1833;2;19;1;2922;480;2;2;1;21;26;1;3;6338;23;6;
org.eclipse.pde.internal.core.ifeature;2;1;4;1;2;2;2;2;78;0;1;4203;146;21;2;1;0;2;4;4203;1;6336;3;2;
org.eclipse.team.internal.core.streams;1;0;5;1;1;1;1;4;68;1;4;866;139;41;1;0;0;4;5;866;0;6336;5;2;
org.eclipse.team.internal.ccvs.ui.operations;2;1;14;1;3;3;3;11;602;2;10;276;2503;128;2;1;0;11;14;276;1;6337;13;2;
org.eclipse.jdt.internal.compiler;0;0;12;0;1;1;1;11;88;1;11;24;286;0;1;0;0;11;12;24;0;5916;12;0;
org.eclipse.jdt.internal.codeassist;1;0;23;1;0;0;0;23;140;2;22;69;502;2;2;1;0;23;23;3039;1;3560;22;1;
org.eclipse.swt.internal.carbon;2;2;27;1;3;2;3;24;622;2;22;82;944;140;2;2;1;24;27;82;3;5614;24;2;
org.eclipse.ui.internal.ide.update;0;0;1;0;1;1;1;0;0;0;0;5789;0;0;1;0;0;0;1;5789;0;5789;1;0;
org.eclipse.ui.internal.gestures;1;0;3;1;0;0;0;3;127;2;2;1721;193;0;2;1;0;3;3;1721;1;2824;2;1;
org.eclipse.update.internal.ui.model;0;0;9;0;0;0;0;9;90;2;8;200;373;4;2;1;0;9;9;200;1;900;8;1;
com.sun.jdi;1;0;2;1;0;0;0;2;28;0;1;4267;28;4;2;1;0;2;2;4267;1;4267;1;1;
org.eclipse.ui.texteditor.quickdiff;0;2;6;0;4;3;4;2;18;0;1;1644;31;0;2;1;1;2;6;1644;2;6340;4;0;
org.eclipse.swt.internal.motif;1;0;5;1;0;0;0;5;2889;2;4;16;4505;20;2;1;0;5;5;16;1;825;4;2;
org.eclipse.core.internal.model;3;1;6;1;4;4;4;2;82;0;1;3013;99;61;2;1;0;2;6;3013;1;6340;5;3;
org.eclipse.ant.internal.core;0;0;9;0;1;1;1;8;34;1;8;283;143;0;1;0;0;8;9;283;0;5879;9;0;
org.eclipse.swt.internal.ole.win32;2;0;3;1;0;0;0;3;91;1;3;2246;99;10;1;0;0;3;3;2246;0;2915;3;2;
org.eclipse.update.internal.ui;0;0;14;0;0;0;0;14;116;2;12;460;438;0;2;2;0;14;14;772;2;4949;12;0;
org.eclipse.swt.events;0;0;5;0;1;1;1;4;183;2;3;1;225;0;2;1;0;4;5;1;1;6352;4;0;
org.eclipse.jdt.internal.ui.text.template.preferences;0;1;6;0;3;3;3;3;8;2;2;4258;22;0;2;1;0;3;6;4258;1;6340;5;0;
org.eclipse.help.ui.internal.search;0;1;9;0;2;2;2;7;486;3;4;1738;764;0;3;3;0;7;9;1738;3;5827;6;0;
org.eclipse.help.internal.context;1;1;8;1;2;2;2;6;285;1;6;1175;505;247;1;0;0;6;8;1175;0;6337;8;1;
org.eclipse.team.internal.ui.synchronize;1;0;10;1;1;1;1;9;1136;2;8;2535;3376;1418;2;1;0;9;10;2535;1;5436;9;2;
org.eclipse.jface.text.contentassist;1;3;17;1;4;2;4;13;556;2;12;679;1911;52;3;1;2;13;17;6353;3;6353;14;1;
org.eclipse.pde.internal.ui.wizards.templates;3;2;9;1;4;3;4;5;808;1;5;368;1255;185;2;0;1;5;9;5208;1;6336;8;3;
org.eclipse.pde.internal.ui.editor.build;0;1;15;0;3;3;3;12;1487;3;7;1727;3701;0;3;5;0;12;15;1767;5;6336;10;0;
org.eclipse.core.internal.expressions;1;0;4;1;1;1;1;3;130;2;2;4108;234;8;2;1;0;3;4;4108;1;6340;3;1;
org.eclipse.pde.internal.ui.editor.context;0;2;4;0;4;3;4;0;40;0;0;5431;42;0;2;0;1;0;4;5431;1;6336;3;0;
